date,prices
09/11/2023,60546
10/11/2023,62174
11/11/2023,70013
12/11/2023,60625
13/11/2023,62751
14/11/2023,64124
15/11/2023,61835
16/11/2023,68962
17/11/2023,61582
18/11/2023,60970
19/11/2023,66215
20/11/2023,70468
21/11/2023,64857
22/11/2023,62214
23/11/2023,64729
24/11/2023,61611
25/11/2023,63941
26/11/2023,59632
27/11/2023,62024
28/11/2023,60202
29/11/2023,63509
30/11/2023,63073
01/12/2023,61271
02/12/2023,67163
03/12/2023,62252
04/12/2023,62112
05/12/2023,59099
06/12/2023,70299
07/12/2023,62939
08/12/2023,60745
09/12/2023,60009
10/12/2023,59908
11/12/2023,69540
12/12/2023,62189
13/12/2023,70316
14/12/2023,59461
15/12/2023,61461
16/12/2023,65140
17/12/2023,66229
18/12/2023,62195
19/12/2023,59448
20/12/2023,70653
21/12/2023,60236
22/12/2023,63306
23/12/2023,62343
24/12/2023,70100
25/12/2023,69325
26/12/2023,66026
27/12/2023,59071
28/12/2023,59534
29/12/2023,60203
30/12/2023,59584
31/12/2023,62007
01/01/2024,61092
02/01/2024,67156
03/01/2024,60269
04/01/2024,67011
05/01/2024,66115
06/01/2024,71002
07/01/2024,60967
08/01/2024,62845
09/01/2024,64834
10/01/2024,59687
11/01/2024,64992
12/01/2024,62822
13/01/2024,59980
14/01/2024,61892
15/01/2024,65302
16/01/2024,66714
17/01/2024,63138
18/01/2024,59040
19/01/2024,64143
20/01/2024,66082
21/01/2024,59491
22/01/2024,62546
23/01/2024,71532
24/01/2024,63032
25/01/2024,71400
26/01/2024,69657
27/01/2024,59271
28/01/2024,59084
29/01/2024,62893
30/01/2024,61801
31/01/2024,64881
10/01/2024,61990
