date,prices
28/11/2023,67210
29/11/2023,65247
30/11/2023,61162
01/12/2023,61319
02/12/2023,65071
03/12/2023,61229
04/12/2023,61741
05/12/2023,60592
06/12/2023,63483
07/12/2023,79990
08/12/2023,68254
09/12/2023,60203
10/12/2023,63405
11/12/2023,69482
12/12/2023,60987
13/12/2023,61624
14/12/2023,66545
15/12/2023,63962
16/12/2023,63190
17/12/2023,69409
18/12/2023,64523
19/12/2023,69391
20/12/2023,64295
21/12/2023,63779
22/12/2023,63382
23/12/2023,62877
24/12/2023,65279
25/12/2023,62112
26/12/2023,65649
27/12/2023,69705
28/12/2023,60162
29/12/2023,67641
30/12/2023,61433
31/12/2023,61484
01/01/2024,69088
02/01/2024,66967
03/01/2024,63240
04/01/2024,60954
05/01/2024,67573
06/01/2024,67958
07/01/2024,65879
08/01/2024,69647
09/01/2024,63395
10/01/2024,61015
